ZIP_CODE;DAYS_SINCE_PURCHASE;PURCHASE_VISITS;TOTAL_NET_SALES;CC_CARD;AVE_AMOUNT_SPENT;AMSPEND;PSSPEND;CCSPEND;AXSPEND;TMONSPEND;OMONSPEND;SMONSPEND;PREVPD;GMP;PROMOS;DAYS;FREDAYS;MARKDOWN;CLASSES;COUPONS;STYLES;STORES;VALPHON;WEB;MAILED;RESPONDED;RESPONSERATE;HI;LTFREDAY;CLUSTYPE;PERCRET;RESP
ZIP_1001;208;2;368,46;0;184,23;0,0;0,0;368,46;0,0;0,0;0,0;0,0;0,0;0,6;17;666;333,0;0,08;9;1;11;1;0;0;5;0;0,0;0,3181;111,0;Cluster_10;0,0;0
ZIP_1028;6;4;258,0;1;64,5;0,0;0,0;258,0;0,0;138,0;55,99;258,0;0,0;0,54;14;696;174,0;0,33;6;0;14;1;1;0;4;2;0,5;0,3272;43,5;Cluster_10;3e-08;1
ZIP_1056;327;2;77,0;0;38,5;0,0;0,0;77,0;0,0;0,0;0,0;0,0;39,0;0,62;10;343;171,5;0,11;1;0;2;1;0;0;4;0;0,0;1,0;68,6;Cluster_16;0,0;0
ZIP_1118;66;8;846,06;1;105,75;0,0;0,0;846,06;0,0;104,94;0,0;373,87;166,25;0,43;24;701;87,62;0,29;15;3;35;1;1;0;9;6;0,6667;0,2327;26,96;Cluster_10;0,0;0
ZIP_1107;49;1;87,44;0;87,44;0,0;0,0;87,44;0,0;87,44;0,0;87,44;0,0;0,22;0;49;49,0;0,42;4;0;8;1;1;0;0;0;0,0;0,2852;24,5;Cluster_20;0,0;0
ZIP_1106;26;2;120,0;0;60,0;0,0;58,0;62,0;0,0;62,0;62,0;120,0;0,0;0,47;3;145;72,5;0,41;3;0;5;2;1;0;0;0;0,0;0,4884;72,5;Cluster_3;0,0;0
ZIP_1118;145;1;782,08;1;782,08;0,0;0,0;782,08;0,0;0,0;0,0;782,08;0,0;0,66;15;145;145,0;0,1;4;1;13;1;1;0;4;0;0,0;0,3951;36,25;Cluster_10;0,0;0
ZIP_1106;356;1;79,0;0;79,0;0,0;0,0;79,0;0,0;0,0;0,0;0,0;0,0;0,56;6;447;447,0;0,19;1;0;2;1;1;0;4;1;0,25;1,0;149,0;Cluster_10;0,0;0
ZIP_1104;264;1;318,5;0;318,5;0,0;0,0;318,5;0,0;0,0;0,0;0,0;0,0;0,68;14;264;264,0;0,07;5;0;6;1;0;0;3;0;0,0;0,5042;264,0;Cluster_23;0,0;0
ZIP_1104;23;12;1663,46;1;138,62;0,0;0,0;922,36;0,0007411;536,57;237,18;936,97;347,99;0,53;26;684;57,0;0,23;22;1;77;2;1;0;11;7;0,6364;0,1697;17,53;Cluster_23;0,0;1
ZIP_1201;144;7;632,08;1;90,29;0,0;0,0;486,16;0,0001459199999999;0,0;0,0;116,0;0,0;0,53;25;698;99,71;0,24;11;2;36;3;1;1;8;2;0,25;0,2622;26,84;Cluster_23;0,0;1
ZIP_1267;118;1;172,99;0;172,99;0,0;160,99;12,0;0,0;0,0;0,0;172,99;0,0;0,65;3;118;118,0;0,04;4;0;5;2;1;0;0;0;0,0;0,2678;59,0;Cluster_16;0,0;0
ZIP_1331;12;5;106,38;0;21,27;0,0;75,99;30,39;0,0;65,39;0,0;106,38;0,0;0,53;15;369;73,8;0,14;6;0;6;3;0;0;8;2;0,25;0,0502;52,71;Cluster_31;1,48;0
ZIP_1373;276;1;87,48;0;87,48;0,0;49,98;37,5;0,0;0,0;0,0;0,0;0,0;0,31;3;276;276,0;0,29;2;0;4;2;1;0;0;0;0,0;0,7469;138,0;Cluster_16;0,0;0
ZIP_1452;48;4;491,17;1;122,79;0,0;469,42;21,75;0,0;96,95;0,0;159,2;0,0;0,48;16;352;88,0;0,3;7;1;18;2;1;0;4;1;0,25;0,1829;32,0;Cluster_16;0,0;0
ZIP_1462;29;4;107,21;0;26,8;0,0;74,22;32,99;0,0;59,97;15,0;59,97;0,0;0,27;5;271;67,75;0,38;2;0;6;2;0;0;0;0;0,0;1,0;67,75;Cluster_10;0,0;0
